home,away,home_score,away_score,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck,date
ETSU,The Citadel,91,67,100.1,111.6,66,0.068,94.9,112.2,73.7,0.02,2/12/2020
Pitt,Clemson,52,72,100.1,111.6,66,0.068,103.9,93.5,66,-0.043,2/12/2020
SMU,UConn,79,75,112.4,103.8,64.8,0.004,103.9,93.5,66,-0.043,2/12/2020
Missouri St.,Drake,97,62,104.8,100.2,68.3,-0.083,102,101.3,67.9,0.065,2/12/2020
Tulsa,East Carolina,70,56,103.2,93.6,65.8,0.076,99.6,104,70.6,-0.01,2/12/2020
Texas A&M,Florida,61,78,101,97.2,64.5,0.098,112.5,95.7,64.9,-0.047,2/12/2020
San Jose St.,Fresno St.,78,84,97.5,107.8,73.3,0.009,105.1,104.1,64.2,-0.117,2/12/2020
Samford,Furman,71,86,98.6,112.6,72.8,0.008,107.7,98.1,68.2,0.041,2/12/2020
VCU,George Mason,67,72,104.7,94.4,69,-0.064,101.3,101.3,67,0.056,2/12/2020
Lehigh,Holy Cross,89,82,97,108.8,68.4,0.046,95.9,117.3,68.3,-0.042,2/12/2020
Abilene Christian,Houston Baptist,81,67,99.1,100.2,68.4,-0.023,102.9,122.3,76.1,0.002,2/12/2020
Northern Iowa,Illinois St.,71,63,112.7,99.3,65.8,0.019,98.4,102.9,68.5,-0.005,2/12/2020
Northwestern St.,Incarnate Word,70,60,98.3,107.1,72.4,0.015,90.3,112.8,66.1,0.066,2/12/2020
Bradley,Indiana St.,72,61,106.8,100.7,67.1,0.036,105.8,101.2,66.4,0.043,2/12/2020
Oklahoma,Iowa St.,90,61,108.8,93.1,69.6,0.031,109.6,101.2,69.9,-0.092,2/12/2020
Army,Lafayette,65,48,98.8,107.4,69.5,0.046,100.6,105.5,66.9,0.101,2/12/2020
Nicholls St.,Lamar,69,65,99.7,101.5,68.7,0.05,96.3,102.5,69.6,0.003,2/12/2020
