teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
East Carolina,Amer,99.8,98.1,68.2,17.3,17.4,45.2,48.9,18.5,20.6,26.9,27.7,29.8,31.9,1.96,77.7,0,0
UMBC,AE,101.4,99.7,67.9,16.6,18.1,50.3,46.5,18.8,17.9,25.8,24.3,34.1,32.9,2.51,75.8,0,0
UTSA,CUSA,106.9,105.3,72.1,16.5,16.6,49.4,50.9,15.7,18.1,26.5,26.9,33.1,35.1,1.9,76.7,0,0
Murray St.,OVC,104.0,102.4,66.5,17.3,18.2,54.7,49.7,19.3,19.4,27.6,26.0,36.6,32.7,1.45,76.8,0,0
UNLV,MWC,104.7,103.2,66.4,18.4,17.3,50.6,51.9,19.5,17.7,28.7,24.9,34.5,37.9,1.48,77.5,0,0
Wake Forest,ACC,102.1,100.7,67.3,18.9,16.7,49.0,54.5,20.0,17.9,26.2,25.9,35.1,38.3,1.7,77.5,0,0
James Madison,CAA,104.2,102.9,72.1,16.1,17.3,50.5,49.6,16.7,20.9,27.9,28.1,33.3,32.6,1.33,76.2,0,0
Eastern Kentucky,OVC,101.8,100.5,75.1,15.4,16.1,51.2,51.0,16.6,24.3,26.8,30.2,35.8,33.0,1.26,76.1,0,0
Washington,P12,102.6,101.5,71.3,16.4,17.4,48.9,51.2,19.2,17.2,23.4,34.4,33.2,34.9,1.91,77.8,0,0
Bryant,NEC,104.4,103.2,73.6,15.7,16.1,53.7,46.5,20.6,17.1,29.4,30.0,38.1,28.9,1.64,75.9,0,0
Coastal Carolina,SB,100.9,99.9,70.9,16.9,16.7,50.0,45.9,21.9,18.1,35.5,27.2,34.6,31.0,1.66,76.5,0,0
South Dakota,Sum,107.2,106.2,69.2,17.4,16.9,53.2,49.5,15.3,15.4,21.7,24.4,39.1,35.4,1.66,76.5,0,0
South Florida,Amer,100.9,100.1,67.0,18.0,17.3,45.1,51.7,20.8,17.8,33.8,26.5,32.4,34.6,1.89,78.2,0,0
Iowa St.,B12,100.5,99.8,70.2,17.0,17.0,48.0,52.0,21.1,18.4,24.3,33.0,32.1,33.0,1.88,76.1,0,0
Gardner Webb,BSth,105.2,104.5,67.0,17.2,18.3,52.4,48.6,17.5,18.2,26.6,28.1,36.1,34.1,1.13,75.9,0,0
Harvard,Ivy,102.6,102.1,68.3,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0,0
Iona,MAAC,101.1,100.7,68.3,17.5,17.2,51.2,45.6,22.5,19.6,33.5,26.2,35.5,30.1,1.75,76.3,0,0
Florida Atlantic,CUSA,102.4,102.1,68.4,16.7,17.8,51.4,49.7,20.4,18.6,31.6,23.3,35.4,35.4,1.59,76.8,0,0
