away,away_score,date,draft_kings,home,home_score,lasso,linear,predict_kp,rf,score
Idaho St.,64.0,2021-01-21,3.0,Portland St.,57.0,-2.0,2.0,1,16.0,-7.0
St. Francis PA,76.0,2021-01-21,-0.5,Sacred Heart,58.0,-0.0,-3.0,-1,18.0,-18.0
Montana St.,62.0,2021-01-21,-6.5,Northern Arizona,51.0,-2.0,-0.0,-5,-1.0,-11.0
San Jose St.,51.0,2021-01-21,6.5,New Mexico,67.0,11.0,11.0,4,4.0,16.0
Jacksonville St.,85.0,2021-01-21,6.0,Murray St.,82.0,8.0,9.0,8,6.0,-3.0
SIU Edwardsville,67.0,2021-01-21,3.0,Tennessee St.,65.0,5.0,8.0,3,12.0,-2.0
Mount St. Mary's,67.0,2021-01-21,-4.5,Central Connecticut,57.0,-7.0,-7.0,-4,-7.0,-10.0
Eastern Michigan,77.0,2021-01-21,11.0,Buffalo,92.0,13.0,14.0,10,6.0,15.0
Central Michigan,67.0,2021-01-21,11.0,Akron,81.0,12.0,13.0,10,15.0,14.0
Eastern Illinois,66.0,2021-01-21,12.0,Belmont,79.0,12.0,10.0,12,10.0,13.0
Southeast Missouri St.,65.0,2021-01-21,5.5,Morehead St.,76.0,6.0,3.0,8,9.0,11.0
Tennessee Tech,69.0,2021-01-21,11.5,Austin Peay,72.0,12.0,14.0,11,2.0,3.0
Tennessee Martin,73.0,2021-01-21,14.5,Eastern Kentucky,113.0,15.0,13.0,16,8.0,40.0
Portland,67.0,2021-01-21,22.5,BYU,95.0,24.0,24.0,21,20.0,28.0
Kansas,68.0,2021-01-23,-1.0,Oklahoma,75.0,,,1,,7.0
Ohio St.,74.0,2021-01-23,5.0,Wisconsin,62.0,,,4,,-12.0
Duke,65.0,2021-01-23,3.0,Louisville,70.0,,,1,,5.0
UCLA,72.0,2021-01-23,-4.5,Stanford,73.0,,,-1,,1.0
Virginia Tech,60.0,2021-01-23,1.0,Syracuse,78.0,,,1,,18.0
LSU,69.0,2021-01-23,1.5,Kentucky,82.0,,,-1,,13.0
Baylor,81.0,2021-01-23,-9.0,Oklahoma St.,66.0,,,-9,,-15.0
Missouri,73.0,2021-01-23,7.0,Tennessee,64.0,,,6,,-9.0
Maryland,63.0,2021-01-23,6.0,Minnesota,49.0,,,6,,-14.0
Clemson,61.0,2021-01-23,6.0,Florida St.,80.0,,,6,,19.0
Auburn,109.0,2021-01-23,2.0,South Carolina,86.0,,,3,,-23.0
N.C. State,76.0,2021-01-23,6.0,North Carolina,86.0,,,5,,10.0
Florida,92.0,2021-01-23,-4.0,Georgia,84.0,,,-6,,-8.0
SMU,78.0,2021-01-23,-4.0,UCF,65.0,,,-3,,-13.0
Northwestern,78.0,2021-01-23,5.5,Penn St.,81.0,,,6,,3.0
Dayton,43.0,2021-01-23,6.0,VCU,66.0,,,3,,23.0
St. Bonaventure,65.0,2021-01-23,-5.5,Duquesne,61.0,,,-3,,-4.0
Saint Mary's,67.0,2021-01-23,2.0,San Francisco,63.0,,,3,,-4.0
Providence,56.0,2021-01-23,11.5,Villanova,71.0,,,10,,15.0
Pittsburgh,75.0,2021-01-23,-1.5,Wake Forest,76.0,,,-4,,1.0
Georgia Tech,62.0,2021-01-23,8.0,Virginia,64.0,,,9,,2.0
Furman,62.0,2021-01-23,-4.5,East Tennessee St.,71.0,,,-3,,9.0
Arkansas,92.0,2021-01-23,-8.0,Vanderbilt,71.0,,,-8,,-21.0
Kent St.,74.0,2021-01-23,4.0,Toledo,76.0,,,7,,2.0
DePaul,68.0,2021-01-23,9.0,Marquette,61.0,,,8,,-7.0
Louisiana Tech,73.0,2021-01-23,-1.0,UTEP,55.0,,,-2,,-18.0
Mississippi St.,73.0,2021-01-23,9.5,Alabama,81.0,,,12,,8.0
USC,76.0,2021-01-23,-8.5,California,68.0,,,-9,,-8.0
Colorado,70.0,2021-01-23,-10.0,Washington St.,59.0,,,-10,,-11.0
Texas A&M,50.0,2021-01-23,8.5,Mississippi,61.0,,,8,,11.0
Cal St. Bakersfield,63.0,2021-01-23,2.5,UC Riverside,70.0,,,2,,7.0
UNC Greensboro,74.0,2021-01-23,-3.5,Chattanooga,66.0,,,-3,,-8.0
Georgia St.,61.0,2021-01-23,-3.5,Appalachian St.,74.0,,,-3,,13.0
George Mason,71.0,2021-01-23,-3.5,Saint Joseph's,62.0,,,-1,,-9.0
Santa Clara,72.0,2021-01-23,4.0,Loyola Marymount,69.0,,,5,,-3.0
Little Rock,61.0,2021-01-23,-1.5,UT Arlington,66.0,,,-1,,5.0
Eastern Washington,82.0,2021-01-23,-4.0,Northern Colorado,76.0,,,-3,,-6.0
Houston,68.0,2021-01-23,-12.0,Temple,51.0,,,-14,,-17.0
Weber St.,72.0,2021-01-23,1.0,Southern Utah,77.0,,,2,,5.0
Charlotte,74.0,2021-01-23,1.5,Florida Atlantic,71.0,,,1,,-3.0
Pepperdine,54.0,2021-01-23,11.5,BYU,65.0,,,11,,11.0
West Virginia,69.0,2021-01-23,-11.0,Kansas St.,47.0,,,-12,,-22.0
Miami OH,85.0,2021-01-23,-2.0,Eastern Michigan,63.0,,,-1,,-22.0
Detroit,82.0,2021-01-23,2.0,Oakland,72.0,,,1,,-10.0
Marshall,89.0,2021-01-23,-9.5,FIU,72.0,,,-8,,-17.0
UC Davis,78.0,2021-01-23,1.5,UC San Diego,71.0,,,2,,-7.0
Army,62.0,2021-01-23,3.0,Navy,69.0,,,4,,7.0
Jacksonville St.,76.0,2021-01-23,3.5,Austin Peay,70.0,,,3,,-6.0
Montana,83.0,2021-01-23,-2.5,Sacramento St.,89.0,,,-2,,6.0
Purdue Fort Wayne,72.0,2021-01-23,2.0,Green Bay,87.0,,,1,,15.0
Valparaiso,69.0,2021-01-23,2.0,Illinois St.,60.0,,,1,,-9.0
Illinois Chicago,77.0,2021-01-23,1.5,Youngstown St.,85.0,,,1,,8.0
Long Beach St.,75.0,2021-01-23,3.5,Cal Baptist,96.0,,,1,,21.0
Hawaii,76.0,2021-01-23,-1.5,Cal St. Fullerton,53.0,,,-1,,-23.0
Stetson,65.0,2021-01-23,2.5,Bellarmine,76.0,,,2,,11.0
Northern Kentucky,79.0,2021-01-23,1.5,Robert Morris,74.0,,,1,,-5.0
Loyola MD,70.0,2021-01-23,-1.0,American,71.0,,,2,,1.0
San Diego,78.0,2021-01-23,-3.0,Portland,70.0,,,-4,,-8.0
VMI,80.0,2021-01-23,9.0,Mercer,83.0,,,7,,3.0
Niagara,69.0,2021-01-23,0.5,Quinnipiac,78.0,,,-1,,9.0
Albany,64.0,2021-01-23,2.0,New Hampshire,71.0,,,3,,7.0
Towson,58.0,2021-01-23,6.0,Hofstra,71.0,,,5,,13.0
Georgia Southern,48.0,2021-01-23,1.5,South Alabama,62.0,,,4,,14.0
Idaho St.,43.0,2021-01-23,2.5,Portland St.,69.0,,,-1,,26.0
Florida Gulf Coast,56.0,2021-01-23,5.0,Lipscomb,71.0,,,4,,15.0
Eastern Illinois,54.0,2021-01-23,-2.5,Tennessee St.,65.0,,,-2,,11.0
Southern Miss,72.0,2021-01-23,5.5,UTSA,78.0,,,5,,6.0
